sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
2177,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2182,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
2186,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2258,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2359,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2405,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2407,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2464,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2484,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2527,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2546,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2630,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2673,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2679,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Same-day,911,0,1
