sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
1722,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
1757,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1768,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1778,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1786,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1795,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1797,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1806,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1833,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1853,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1861,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1864,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1874,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1884,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
1914,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1936,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2001,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2002,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
2029,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2038,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2043,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2047,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2049,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2064,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2084,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2095,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
2114,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2145,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2147,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2168,2,format_tone|remove_all,1,1,0,0,down,-4,Non-urgent,911,0,1
2172,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2173,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2177,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2182,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
2186,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2236,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
2239,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2258,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2266,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
2296,3,format_tone|remove_all|ct_old,1,1,0,1,down,-3,Non-urgent,ED,0,1
2359,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2390,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2405,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2407,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2426,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2451,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2457,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2464,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2484,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2491,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2527,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2546,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2563,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2579,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2607,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2630,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2649,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2673,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2679,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Same-day,911,0,1
