model,arm,sample_id,from,to,from_short,to_short,from_idx,to_idx,delta,abs_delta,direction
claude,format_tone,487,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,502,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,503,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,510,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,540,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,569,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,608,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,612,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,619,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,620,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,628,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,633,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,645,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,652,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,667,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,676,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,677,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,713,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,734,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,737,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,738,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,778,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,784,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,837,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,851,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,854,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,855,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,914,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,940,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,968,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,972,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,format_tone,996,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1020,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1046,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,1077,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1088,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1090,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1094,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1105,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1110,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1129,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1130,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1131,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1143,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1149,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1153,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1164,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1174,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1176,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1185,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1192,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,1222,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1235,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1243,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1251,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1257,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1259,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1280,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1294,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1304,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1315,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1321,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1358,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1378,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1379,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1403,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1404,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1409,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1436,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1438,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1450,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1472,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1473,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1486,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1498,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1524,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1553,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1577,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1585,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,format_tone,1604,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1617,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1640,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1642,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1661,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1662,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1672,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1681,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1686,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1722,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1727,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1757,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1768,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1778,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1786,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1791,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1795,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1797,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1798,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1806,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1833,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1853,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1861,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,1864,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1874,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1884,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,1893,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1914,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1929,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1932,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1936,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1963,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,1986,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,2001,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2002,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2029,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2038,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2043,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2047,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2049,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2064,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2084,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2095,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2114,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2145,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2147,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2159,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,2168,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,2172,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2173,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2177,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2182,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2186,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2236,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,2239,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2258,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2266,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2296,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,2344,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,2359,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2390,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2405,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2407,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2426,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2451,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2457,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2463,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2464,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2476,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2484,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2491,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,2527,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2546,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2563,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2579,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2607,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,2618,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2626,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2630,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2649,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,2673,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,2679,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,135,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,181,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,206,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,213,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,233,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,260,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,271,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,293,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,298,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,337,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,351,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,359,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,395,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,content_format,478,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,480,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,487,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,528,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
claude,content_format,608,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,612,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,619,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,620,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,633,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,645,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,677,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,706,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,713,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,734,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,835,Self-care at home,Go to urgent care,Home,UC,5,2,-3,3,down
claude,content_format,851,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,855,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,914,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,917,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,919,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,content_format,932,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,940,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,962,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,993,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,996,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1007,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,1020,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1043,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1070,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,1077,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1080,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1090,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1092,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,1105,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1110,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1129,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1130,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,1143,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1153,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1160,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1161,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1218,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1222,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1228,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1243,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1249,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,content_format,1251,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1286,Self-care at home,Seek same-day in-person care,Home,Same-day,5,3,-2,2,down
claude,content_format,1315,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1321,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1411,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,content_format,1427,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1466,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1486,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1498,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1524,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1553,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1585,Schedule non-urgent medical appointment,Call 911 / Emergency Services,Non-urgent,911,4,0,-4,4,down
claude,content_format,1604,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1617,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1686,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,content_format,1722,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
