sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting,acuity_direction,same_day_to_ed,interesting_acuity,delta,from_short,to_short,interesting_diag
573,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
594,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
606,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
614,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
624,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
664,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
666,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
667,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
691,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
714,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
741,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
749,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
758,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
784,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,down,1,1,,,,
786,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
801,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
807,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
810,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,down,0,1,,,,
825,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,0,1,,,,
830,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
831,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
842,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
850,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
857,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
861,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
862,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
863,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
869,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
900,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
902,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
905,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
923,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
932,3,format_tone|content_format|remove_all,1,1,1,1,,1,,1,,-2,Same-day,ED,0
939,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
973,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
974,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
976,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
978,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
982,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
984,3,format_tone|remove_all|ct_old,1,1,0,1,,1,,1,,-2,Same-day,ED,0
986,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,1,1,,,,
990,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
997,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
1023,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1025,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1032,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1040,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,,1,,1,,-2,Same-day,ED,0
1049,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1051,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1059,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,0,1,,,,
1068,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1111,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1140,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1159,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
1170,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1171,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1189,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1213,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1244,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1251,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1263,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
1283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1284,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1297,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1307,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1312,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1323,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1326,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1339,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1349,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1389,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1424,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
1428,2,format_tone|remove_all,1,1,0,0,high_to_low,1,down,0,1,,,,
1435,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1438,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
1458,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
1467,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1474,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1502,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1524,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1526,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1542,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
1559,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1580,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1592,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1597,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1610,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1622,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1628,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1641,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1642,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
1643,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1648,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1666,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1667,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1684,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
1687,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,down,1,1,,,,
1705,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1709,1,remove_all,0,0,0,0,high_to_low,1,down,1,1,,,,
1718,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
1724,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1726,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1736,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,up,0,0,,,,
1743,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1745,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1748,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1754,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1758,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1765,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1796,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1801,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1805,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1808,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1810,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1822,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1830,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1834,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1835,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1855,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1862,3,format_tone|content_format|remove_all,1,1,1,1,,1,,1,,-2,Same-day,ED,0
1866,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1867,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1870,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1878,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
1900,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1919,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
1926,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
1950,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1951,3,content_format|ct_old|ct_new,0,0,0,1,low_to_high,0,down,1,1,,,,
1952,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1968,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
1976,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
1983,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
1987,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2025,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,1,1,,,,
2028,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
2037,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2060,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2065,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2072,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2076,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,down,1,1,,,,
2079,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2115,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2149,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2154,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2159,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,1,1,,,,
2160,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,down,0,1,,,,
2161,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2181,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2217,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2239,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
2252,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
2253,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
2255,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2266,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2275,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
2276,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2277,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,down,0,1,,,,
2291,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2292,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2299,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
2301,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2308,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2310,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2325,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
2351,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
2368,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,1,1,,,,
2371,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2378,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
2390,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
2399,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
2409,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
2410,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2416,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2421,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2425,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2450,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,up,0,0,,,,
2454,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2456,2,format_tone|remove_all,1,1,0,0,high_to_low,1,up,0,0,,,,
2458,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2463,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
2495,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2496,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2507,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,up,0,0,,,,
2509,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2519,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
2531,3,format_tone|content_format|remove_all,1,1,1,1,,1,,1,,-2,Same-day,ED,0
2535,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
2536,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2537,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2539,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,0,1,,,,
2547,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2573,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
2603,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2611,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
2613,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2618,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
2623,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
2628,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1,,,,,,,
2634,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
2652,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
2665,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,,1,,1,,-2,Same-day,ED,0
2673,2,format_tone|ct_new,0,0,0,0,low_to_high,0,down,1,1,,,,
