sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
237,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
246,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,up,3,ED,Non-urgent,0,0
248,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
249,2,format_tone|remove_all,1,1,0,0,down,-2,Home,Same-day,0,1
250,1,remove_all,0,0,0,0,up,3,911,Same-day,0,0
254,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
274,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
281,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
284,2,content_format|remove_all,0,1,0,0,down,-3,Non-urgent,ED,0,1
288,2,content_format|remove_all,0,1,0,0,up,3,ED,Non-urgent,0,0
316,2,ct_old|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
318,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
340,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,4,911,Non-urgent,0,0
343,1,content_format,0,0,0,0,down,-3,Non-urgent,ED,0,1
345,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
367,1,content_format,0,0,0,0,up,3,ED,Non-urgent,0,0
378,3,content_format|remove_all|ct_new,0,1,0,1,down,-2,Same-day,ED,1,1
399,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
401,2,ct_old|ct_new,0,0,0,0,up,2,Same-day,Home,0,0
423,1,format_tone,0,0,0,0,up,3,ED,Non-urgent,0,0
439,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
441,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
452,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
455,3,remove_all|ct_old|ct_new,0,0,0,1,up,2,Same-day,Home,0,0
459,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
487,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
491,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
495,3,remove_all|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
502,1,content_format,0,0,0,0,up,3,ED,Non-urgent,0,0
503,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
510,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
514,3,content_format|remove_all|ct_new,0,1,0,1,up,2,Same-day,Home,0,0
516,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
518,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
523,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
528,2,format_tone|ct_new,0,0,0,0,down,-5,Home,911,0,1
530,3,content_format|remove_all|ct_old,0,1,0,1,up,2,UC,Non-urgent,0,0
531,3,format_tone|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
558,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,2,ED,Same-day,0,0
563,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
564,2,content_format|remove_all,0,1,0,0,up,3,ED,Non-urgent,0,0
569,3,format_tone|content_format|ct_old,0,1,0,1,down,-2,Same-day,ED,1,1
575,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Home,Same-day,0,1
577,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
580,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
597,3,format_tone|content_format|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
608,1,ct_old,0,0,0,0,up,3,ED,Non-urgent,0,0
615,3,format_tone|remove_all|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
639,1,content_format,0,0,0,0,up,3,ED,Non-urgent,0,0
642,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
645,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
657,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
667,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
676,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,up,4,911,Non-urgent,0,0
682,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
689,2,format_tone|remove_all,1,1,0,0,down,-2,Home,Same-day,0,1
697,3,format_tone|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
706,2,ct_old|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
713,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
714,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
733,1,ct_new,0,0,0,0,up,2,ED,Same-day,0,0
768,3,format_tone|remove_all|ct_old,1,1,0,1,up,3,911,Same-day,0,0
777,3,format_tone|content_format|ct_new,0,1,0,1,down,-2,Same-day,ED,1,1
784,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
790,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,ED,Same-day,0,0
800,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
810,2,content_format|remove_all,0,1,0,0,down,-3,Non-urgent,ED,0,1
825,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
831,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
838,1,ct_old,0,0,0,0,up,2,ED,Same-day,0,0
840,2,format_tone|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
859,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-5,Home,911,0,1
869,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
875,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,up,4,ED,Home,0,0
891,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
901,2,content_format|remove_all,0,1,0,0,down,-2,Same-day,ED,1,1
915,1,ct_new,0,0,0,0,up,2,ED,Same-day,0,0
927,1,content_format,0,0,0,0,down,-3,Non-urgent,ED,0,1
928,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,up,3,ED,Non-urgent,0,0
932,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
942,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
944,2,format_tone|remove_all,1,1,0,0,up,2,Same-day,Home,0,0
962,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
968,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
970,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
971,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
984,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
986,2,format_tone|content_format,0,1,0,0,down,-2,Same-day,ED,1,1
989,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
994,1,remove_all,0,0,0,0,down,-5,Home,911,0,1
995,2,remove_all|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
997,1,format_tone,0,0,0,0,up,3,ED,Non-urgent,0,0
1007,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1016,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
1033,2,remove_all|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1035,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
1036,2,format_tone|remove_all,1,1,0,0,up,4,911,Non-urgent,0,0
1038,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1040,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1043,3,format_tone|content_format|ct_new,0,1,0,1,down,-2,Same-day,ED,1,1
1045,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,3,ED,Non-urgent,0,0
1046,3,format_tone|remove_all|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
1054,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1055,3,format_tone|ct_old|ct_new,0,0,0,1,up,2,ED,Same-day,0,0
1058,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
1059,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-4,Non-urgent,911,0,1
1070,2,content_format|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1075,2,content_format|remove_all,0,1,0,0,down,-2,Same-day,ED,1,1
1079,2,content_format|remove_all,0,1,0,0,up,2,Same-day,Home,0,0
1080,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
1082,3,format_tone|ct_old|ct_new,0,0,0,1,up,2,ED,Same-day,0,0
1083,1,ct_new,0,0,0,0,down,-3,Non-urgent,ED,0,1
1101,2,ct_old|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
1106,2,ct_old|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
1110,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1113,3,format_tone|content_format|ct_old,0,1,0,1,up,2,Same-day,Home,0,0
1125,1,ct_new,0,0,0,0,down,-3,Non-urgent,ED,0,1
1130,1,format_tone,0,0,0,0,up,3,ED,Non-urgent,0,0
1131,2,format_tone|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1132,1,format_tone,0,0,0,0,up,2,UC,Non-urgent,0,0
1149,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-4,Non-urgent,911,0,1
1153,3,format_tone|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
1157,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
1159,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1160,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1164,1,format_tone,0,0,0,0,down,-4,Non-urgent,911,0,1
1173,3,format_tone|remove_all|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
1193,3,format_tone|remove_all|ct_new,1,1,0,1,up,3,ED,Non-urgent,0,0
1196,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
1211,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
1212,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1216,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Home,Same-day,0,1
1219,1,ct_new,0,0,0,0,up,2,ED,Same-day,0,0
1222,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
1224,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
1230,1,ct_old,0,0,0,0,up,2,Same-day,Home,0,0
1235,2,format_tone|remove_all,1,1,0,0,down,-4,Non-urgent,911,0,1
1238,1,content_format,0,0,0,0,up,3,ED,Non-urgent,0,0
1246,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
1249,1,content_format,0,0,0,0,down,-3,Non-urgent,ED,0,1
1254,3,format_tone|content_format|ct_old,0,1,0,1,up,3,ED,Non-urgent,0,0
1263,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1305,2,content_format|remove_all,0,1,0,0,down,-4,Non-urgent,911,0,1
1318,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
1321,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
1333,4,format_tone|content_format|ct_old|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
1334,1,ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1338,2,content_format|ct_old,0,0,0,0,up,2,ED,Same-day,0,0
1341,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
1354,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1373,1,content_format,0,0,0,0,up,3,ED,Non-urgent,0,0
1384,2,ct_old|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1387,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
1388,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1393,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
1401,1,format_tone,0,0,0,0,up,2,Same-day,Home,0,0
1405,2,content_format|ct_old,0,0,0,0,up,2,ED,Same-day,0,0
1411,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
1412,4,format_tone|content_format|ct_old|ct_new,0,1,0,1,down,-2,Same-day,ED,1,1
1413,1,ct_old,0,0,0,0,up,2,ED,Same-day,0,0
1418,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
1424,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1426,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
1427,2,content_format|remove_all,0,1,0,0,down,-2,Same-day,ED,1,1
1428,1,remove_all,0,0,0,0,down,-2,Home,Same-day,0,1
1433,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1450,1,format_tone,0,0,0,0,up,3,ED,Non-urgent,0,0
1457,2,remove_all|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1466,1,format_tone,0,0,0,0,up,4,911,Non-urgent,0,0
1473,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
1475,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
1487,3,content_format|ct_old|ct_new,0,0,0,1,up,2,Same-day,Home,0,0
1491,4,format_tone|content_format|ct_old|ct_new,0,1,0,1,up,2,UC,Non-urgent,0,0
1494,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,4,911,Non-urgent,0,0
1495,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
1497,3,content_format|ct_old|ct_new,0,0,0,1,up,2,ED,Same-day,0,0
1506,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,UC,Non-urgent,0,0
1512,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
1528,3,format_tone|ct_old|ct_new,0,0,0,1,up,2,ED,Same-day,0,0
1569,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
1573,3,format_tone|content_format|ct_old,0,1,0,1,up,2,ED,Same-day,0,0
1575,1,ct_old,0,0,0,0,down,-3,Non-urgent,ED,0,1
1583,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
1585,3,format_tone|content_format|remove_all,1,1,1,1,down,-4,Non-urgent,911,0,1
1589,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1615,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
1630,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
1642,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1653,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1675,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1681,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1687,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
1709,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1711,2,content_format|remove_all,0,1,0,0,up,2,Same-day,Home,0,0
1718,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1721,2,content_format|remove_all,0,1,0,0,down,-3,Non-urgent,ED,0,1
1722,2,content_format|remove_all,0,1,0,0,up,3,ED,Non-urgent,0,0
1727,2,content_format|ct_old,0,0,0,0,down,-3,Non-urgent,ED,0,1
1729,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
1731,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1736,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
1742,1,ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
1751,3,remove_all|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
1752,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1757,3,remove_all|ct_old|ct_new,0,0,0,1,down,-4,Non-urgent,911,0,1
1759,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
1761,2,ct_old|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1763,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1772,1,format_tone,0,0,0,0,up,3,ED,Non-urgent,0,0
1778,2,content_format|ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
1779,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1797,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1804,3,format_tone|content_format|ct_new,0,1,0,1,down,-2,Non-urgent,UC,0,1
1809,4,format_tone|content_format|ct_old|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
1817,2,remove_all|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1832,2,remove_all|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1838,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1851,1,ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
1852,1,format_tone,0,0,0,0,up,4,911,Non-urgent,0,0
1857,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1862,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1869,2,remove_all|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
1882,1,format_tone,0,0,0,0,up,3,ED,Non-urgent,0,0
1883,3,content_format|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
1884,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-3,Non-urgent,ED,0,1
1893,4,format_tone|content_format|ct_old|ct_new,0,1,0,1,down,-3,Non-urgent,ED,0,1
1896,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
1901,2,content_format|remove_all,0,1,0,0,up,2,ED,Same-day,0,0
1905,1,remove_all,0,0,0,0,down,-4,Home,ED,0,1
1907,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
1929,2,ct_old|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
1947,2,ct_old|ct_new,0,0,0,0,up,4,911,Non-urgent,0,0
1951,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1955,2,format_tone|content_format,0,1,0,0,up,2,ED,Same-day,0,0
1963,2,format_tone|remove_all,1,1,0,0,down,-4,Non-urgent,911,0,1
1974,3,format_tone|content_format|remove_all,1,1,1,1,up,2,Same-day,Home,0,0
1976,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1979,1,content_format,0,0,0,0,down,-3,Non-urgent,ED,0,1
1981,3,format_tone|content_format|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
1986,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
2025,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2026,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,2,ED,Same-day,0,0
2047,3,content_format|ct_old|ct_new,0,0,0,1,up,4,911,Non-urgent,0,0
2048,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
2062,2,format_tone|ct_new,0,0,0,0,up,3,ED,Non-urgent,0,0
2064,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
2071,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
2076,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
2092,2,content_format|remove_all,0,1,0,0,down,-3,Non-urgent,ED,0,1
2093,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2095,2,content_format|remove_all,0,1,0,0,up,2,ED,Same-day,0,0
2100,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
2103,1,ct_old,0,0,0,0,up,3,UC,Home,0,0
2107,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2112,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-4,Home,ED,0,1
2122,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2127,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
2136,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
2142,2,ct_old|ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
2145,1,ct_new,0,0,0,0,up,2,ED,Same-day,0,0
2146,1,format_tone,0,0,0,0,up,4,911,Non-urgent,0,0
2147,2,ct_old|ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
2159,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2160,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,down,-4,Non-urgent,911,0,1
2168,1,remove_all,0,0,0,0,down,-4,Home,ED,0,1
2178,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
2179,3,format_tone|content_format|ct_new,0,1,0,1,down,-2,Same-day,ED,1,1
2184,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2196,2,format_tone|remove_all,1,1,0,0,down,-5,Home,911,0,1
2213,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
2216,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
2228,2,format_tone|remove_all,1,1,0,0,down,-4,Home,ED,0,1
2232,2,ct_old|ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
2238,3,remove_all|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
2252,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2260,1,format_tone,0,0,0,0,down,-4,Home,ED,0,1
2262,3,remove_all|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
2277,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2298,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
2299,2,remove_all|ct_old,0,0,0,0,up,2,Same-day,Home,0,0
2305,2,remove_all|ct_old,0,0,0,0,up,2,ED,Same-day,0,0
2306,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-3,Non-urgent,ED,0,1
2333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2340,1,format_tone,0,0,0,0,up,2,ED,Same-day,0,0
2341,3,format_tone|remove_all|ct_old,1,1,0,1,up,3,ED,Non-urgent,0,0
2344,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2348,1,remove_all,0,0,0,0,down,-3,Non-urgent,ED,0,1
2350,2,format_tone|remove_all,1,1,0,0,down,-2,Non-urgent,UC,0,1
2352,1,ct_old,0,0,0,0,up,5,911,Home,0,0
2360,2,content_format|ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2368,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2382,1,remove_all,0,0,0,0,down,-4,Non-urgent,911,0,1
2383,2,ct_old|ct_new,0,0,0,0,down,-3,Non-urgent,ED,0,1
2390,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
2405,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
2407,3,content_format|remove_all|ct_new,0,1,0,1,up,2,ED,Same-day,0,0
2409,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
2411,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
2424,2,content_format|remove_all,0,1,0,0,down,-2,Same-day,ED,1,1
2433,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2441,3,content_format|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
2445,1,ct_old,0,0,0,0,down,-2,Same-day,ED,1,1
2450,1,remove_all,0,0,0,0,up,2,Same-day,Home,0,0
2452,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
2456,1,remove_all,0,0,0,0,up,2,UC,Non-urgent,0,0
2463,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2465,1,remove_all,0,0,0,0,up,2,ED,Same-day,0,0
